,Cycle,Joint,Angle_x,Angle_y,Angle_z,Flex_Ext_Angle,subject,avg_flex
98,99.0,r_ankle,9.256443490534764,-4.334894419678867,-14.4753328244913,80.74010542103956,1,80.28022761344178
99,100.0,r_ankle,9.285174240231694,-4.1724936067387945,-14.968421030745839,80.71485021101115,1,80.27885170070005
100,1.0,l_ankle,28.130452075044722,-16.35463399204816,-5.255982443073446,61.87640119932098,1,61.6227002109379
101,2.0,l_ankle,28.28736341287361,-16.380260428495873,-5.2660638527645975,61.71266103836926,1,61.468766181842
102,3.0,l_ankle,28.524212879616034,-16.421652940971416,-5.289386841608572,61.47233603195825,1,61.24258294797238
103,4.0,l_ankle,28.764550044260552,-16.455604095780128,-5.280155547880901,61.231998867313735,1,61.01081566893666
104,5.0,l_ankle,28.996015299507594,-16.45328273470869,-5.204526748059046,61.00400915173524,1,60.77299679465976
105,6.0,l_ankle,29.187513761484166,-16.395939083699904,-5.042666216732611,60.81933951288155,1,60.54931165556843
106,7.0,l_ankle,29.32907878439946,-16.28306630662745,-4.80382271779263,60.670945666843394,1,60.33778528575836
107,8.0,l_ankle,29.436390732133365,-16.138935398495676,-4.514222476762453,60.56015817944095,1,60.14467813259499
108,9.0,l_ankle,29.540946414690808,-15.992672853316618,-4.197714202252436,60.45560249688346,1,59.95674358313946
109,10.0,l_ankle,29.671587292173353,-15.869446585005088,-3.867021098002531,60.32843715906951,1,59.76137314537228
110,11.0,l_ankle,29.843810512941758,-15.785514357755236,-3.536451483586259,60.16304276142396,1,59.553734516745415
111,12.0,l_ankle,30.04575987747625,-15.744860293850852,-3.2301528036790943,59.95426457376658,1,59.33176809135921
112,13.0,l_ankle,30.265754141088088,-15.749426095912087,-2.9732130019752976,59.73079477048622,1,59.109662086782414
113,14.0,l_ankle,30.488189800817658,-15.792034049617076,-2.7690147108261396,59.508359110756636,1,58.8898536344976
114,15.0,l_ankle,30.707879956954237,-15.863178976048228,-2.595774840645163,59.29214449428863,1,58.67079087526963
115,16.0,l_ankle,30.928678416768733,-15.953854372037128,-2.4262631303728064,59.078174857596956,1,58.451545286174294
116,17.0,l_ankle,31.149981639157605,-16.052430186520382,-2.2547644336928196,58.850042812085256,1,58.22694785292059
117,18.0,l_ankle,31.377087980050796,-16.15263913522951,-2.1090864649168193,58.6194609315235,1,58.00426463373809
118,19.0,l_ankle,31.602184316333087,-16.244670229398544,-2.0293990316851254,58.39436459524121,1,57.78308141965297
119,20.0,l_ankle,31.814190940088864,-16.321074644099415,-2.0348620017845995,58.185833511154016,1,57.56499828813702
120,21.0,l_ankle,32.00420547328128,-16.378639276147247,-2.1044623028989125,58.00264780108442,1,57.352199862442674
121,22.0,l_ankle,32.16308742464794,-16.415363583390153,-2.189582144720932,57.83693702659493,1,57.14651002971898
122,23.0,l_ankle,32.299778991713566,-16.439633714291883,-2.246414058292165,57.69676991986073,1,56.95958523593242
123,24.0,l_ankle,32.421189535474404,-16.460157785642593,-2.257607009704716,57.57535937609988,1,56.79399672250329
124,25.0,l_ankle,32.533850228017954,-16.48486376844197,-2.23625587402602,57.466174223224904,1,56.649973861537816
125,26.0,l_ankle,32.64026864429039,-16.51530234613115,-2.2114751352313093,57.36658463007531,1,56.52568321177395
126,27.0,l_ankle,32.732055095574964,-16.542863469481233,-2.2092770580528476,57.2679693556679,1,56.415977831285645
127,28.0,l_ankle,32.81013863310641,-16.56435955345635,-2.243857919905107,57.18641027846789,1,56.3263203457527
